,Wallet,XP,Reward Percentage,HARMONIX,,RESOLV,,,,HYPERSWAP (AFTER TGE)
,,,,"$2,000 worth of $HYPE (dollar)","1,000,000 Harmonix Points",$1000 worth of $USR,"15,000,000 Resolv Points",Random: 30 Blueprint NFTs,Engage on-chain: 100 Blueprint NFTs,"$5,000 worth of $HSPX (at HyperSwap’s TGE valuation)"
110,0x958d62982da21516754c3101c92ad17f3a4415b2,30,0.01%,0.15,76.23,0.08,1143.38,FALSE,FALSE,0.38
111,0x95d8ecf7b8100a9e4cc684c6046750ee6761a741,140,0.04%,0.71,355.72,0.36,5335.79,FALSE,FALSE,1.78
112,0x95c4843f6fd8951509a2986c58672c43c463d4a7,30,0.01%,0.15,76.23,0.08,1143.38,FALSE,FALSE,0.38
113,0x96f64008ac69d03c02999f97292764111ce3ccfd,133,0.03%,0.68,337.93,0.34,5069.00,FALSE,FALSE,1.69
114,0x9976292c0fa31c652e513d8881496ac57c01bfe9,80,0.02%,0.41,203.27,0.20,3049.02,FALSE,FALSE,1.02
115,0x9a3fcb257d7e8cd88f5a38e74bed0ac186f99ac8,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
116,0xa3e9365d44baf9a07f9244102437a5e7a8ef30a7,155797.75,39.59%,791.72,395859.06,395.86,5937885.84,FALSE,FALSE,1979.30
117,0xa4d313f6e8bb7ff51e534a60ffd9074435991925,225,0.06%,1.14,571.69,0.57,8575.38,FALSE,FALSE,2.86
118,0xa9ec6b74b1b97a5763a42a5f930c89fbba7f3790,113,0.03%,0.57,287.12,0.29,4306.74,FALSE,FALSE,1.44
119,0xaf4b2f11bab3c8904fd331b343405bc06481ae30,10,0.00%,0.05,25.41,0.03,381.13,FALSE,FALSE,0.13
120,0xb1e559e2964c8737bf944e2850e5c97e966cdf8f,113,0.03%,0.57,287.12,0.29,4306.74,FALSE,FALSE,1.44
121,0xb3db8d23a98780002b10da5fb082e47b2d22e4f3,230,0.06%,1.17,584.40,0.58,8765.94,FALSE,FALSE,2.92
122,0xb8d779f81ea50f5d9abfc2468e459e400c91e8aa,100,0.03%,0.51,254.09,0.25,3811.28,FALSE,FALSE,1.27
123,0xb938d9c1428272e25c39b5786ad75559a36753dc,110,0.03%,0.56,279.49,0.28,4192.41,FALSE,FALSE,1.40
124,0xbb2412c4af7e9f931bace78ff7957a640916acb4,113,0.03%,0.57,287.12,0.29,4306.74,FALSE,FALSE,1.44
125,0xbdad5bd483d474351022131bf0f0682315a85a1e,90,0.02%,0.46,228.68,0.23,3430.15,FALSE,FALSE,1.14
126,0xbee1260f87623536aefd26a5fb404c54c9c3e6b6,90,0.02%,0.46,228.68,0.23,3430.15,FALSE,FALSE,1.14
127,0xba824a64571cd78020b77973ee49ab8b33626eb1,110,0.03%,0.56,279.49,0.28,4192.41,FALSE,FALSE,1.40
128,0xc079b900a6ca3cdb5e47002386b09cdd0f94f00b,140,0.04%,0.71,355.72,0.36,5335.79,FALSE,FALSE,1.78
129,0xc1269b5614c6f5cc50affa5e62d403622c6cdb3f,70,0.02%,0.36,177.86,0.18,2667.89,FALSE,FALSE,0.89
130,0xc14c38f186c9aa8f088bdfcd8977aa3212d2ac2e,3,0.00%,0.02,7.62,0.01,114.34,FALSE,FALSE,0.04
131,0xc278bd6f0d14395929c1c233fa30e49962863ea9,43,0.01%,0.22,109.26,0.11,1638.85,FALSE,FALSE,0.55
132,0xc2b9a4b63fb3e4749b402ade90c4282b1e4852dd,73,0.02%,0.37,185.48,0.19,2782.23,FALSE,FALSE,0.93
133,0xc4883ba4496a0e9347f158abec2254a771df9570,156,0.04%,0.79,396.37,0.40,5945.59,FALSE,FALSE,1.98
134,0xc7a4d962888ea92702a38ad1e3aebf05d56d561b,113,0.03%,0.57,287.12,0.29,4306.74,FALSE,FALSE,1.44
135,0xcaddf039b5cd8320bc4638b9b7a4b6796756eb63,110,0.03%,0.56,279.49,0.28,4192.41,FALSE,FALSE,1.40
136,0xd3dabbcd96e25f57fab78881267927897a29113d,30,0.01%,0.15,76.23,0.08,1143.38,FALSE,FALSE,0.38
137,0xd58c995e07c28966a4504592170b279aff68bbb1,70,0.02%,0.36,177.86,0.18,2667.89,FALSE,FALSE,0.89
138,0xd857cc69c6b8728b24f7d776babf3f6a8a39057d,30,0.01%,0.15,76.23,0.08,1143.38,FALSE,FALSE,0.38
139,0xe38877b7de6321fe72468409e1707b2f0f0c906c,136,0.03%,0.69,345.56,0.35,5183.34,FALSE,FALSE,1.73
140,0xe401d18f6f835c12ca54e54a2f16a802b651eaa7,113,0.03%,0.57,287.12,0.29,4306.74,FALSE,FALSE,1.44
141,0xed24f197e67e76d659ac90db163f99795600c78f,441,0.11%,2.24,1120.52,1.12,16807.74,FALSE,FALSE,5.60
142,0xeb02a7178b1eb0a8d6bd418510ad333fc8f5ca7a,504,0.13%,2.56,1280.59,1.28,19208.84,FALSE,FALSE,6.40
143,0xeceb013c350ce14f531436be2e8283674694413a,624,0.16%,3.17,1585.49,1.59,23782.38,FALSE,FALSE,7.93
144,0xf270ea870cd3c08eb41d75e29b5f8a12f6e4c977,153,0.04%,0.78,388.75,0.39,5831.26,FALSE,FALSE,1.94
145,0xf359e26d51e751524879384d3940a6093a86d696,140,0.04%,0.71,355.72,0.36,5335.79,FALSE,FALSE,1.78
146,0xfb85c9b9314c45661e0d553e271efefac154c839,130,0.03%,0.66,330.31,0.33,4954.66,FALSE,FALSE,1.65
147,0xa1baf6072301db78e48bbaeb82a85b9753acbe5f,30,0.01%,0.15,76.23,0.08,1143.38,FALSE,FALSE,0.38
148,0xa5a547103968d21f923aa177f7782fb944eeb6a1,179,0.05%,0.91,454.81,0.45,6822.19,FALSE,FALSE,2.27
149,0xa7d77852e9e85989f2588352a959b95422c7c8f7,80,0.02%,0.41,203.27,0.20,3049.02,FALSE,FALSE,1.02
150,0xb8099bc952262219f770e5f8e9165538ac3a02b0,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
151,0xb969d6e52043e2e39a70ce49116bb9d78f6bc0ec,33,0.01%,0.17,83.85,0.08,1257.72,FALSE,FALSE,0.42
152,0xb9d68068d32d2cebeb5ebed953d462f5211b5e91,213,0.05%,1.08,541.20,0.54,8118.02,FALSE,FALSE,2.71
153,0xc090aa2c7ee653046432ed8ccba6a0ac61bd96e9,23,0.01%,0.12,58.44,0.06,876.59,FALSE,FALSE,0.29
154,0xc1ab1478de616d8865d568a140a09a224a8bee4f,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
155,0xc7b4fac3cffa5f7dae31b5687c25ba4a005a2d15,284,0.07%,1.44,721.60,0.72,10824.03,FALSE,TRUE,3.61
156,0xc95c2cb79c94aedc529a316943e0d2a3448a4a36,10,0.00%,0.05,25.41,0.03,381.13,FALSE,FALSE,0.13
157,0xcb27c40386822ebd8e086e12726fd2645d436697,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
158,0xccace1fde935ef1ee706b7b7c3d55dc71e4ee059,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
159,0xceb16c085a5d2bec33c2658f8467303dab4287a5,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
160,0xd6f5bf4af2a493429c7a2ea89a37cd9488b5aca6,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
161,0xd7d9d1cae2c46c091f023927e316ec4c021e7433,232,0.06%,1.18,589.48,0.59,8842.17,FALSE,FALSE,2.95
162,0xd856a744b4d39e63164a7a88e89a8ab0c758848d,130,0.03%,0.66,330.31,0.33,4954.66,FALSE,FALSE,1.65
163,0xd8e39212339ef7b4bd9b55e2ad08dcae09de8f8f,70,0.02%,0.36,177.86,0.18,2667.89,FALSE,FALSE,0.89
